"id","name","year","rating","rating_number","genre"
"1.","Czarnobyl","2019","8,79","242 113 ","Dramat"
"2.","Breaking Bad","2008","8,75","322 164 ","Dramat"
"3.","Gra o tron","2011","8,71","404 959 ","Dramat"
"4.","Nasza planeta","2019","8,67","35 212 ","Dokumentalny"
"5.","Kompania braci","2001","8,64","141 028 ","Dramat"
"6.","Biuro","2005","8,64","96 902 ","Komedia"
"7.","Rick i Morty","2013","8,50","115 170 ","Komedia"
"8.","Peaky Blinders","2013","8,47","137 187 ","Krymina³"
"9.","Sherlock","2010","8,46","237 224 ","Dramat"
"10.","BoJack Horseman","2014","8,40","68 529 ","Dramat"
"11.","Miasteczko Twin Peaks","1990","8,39","117 070 ","Dramat"
"12.","Dragon Ball Z","1989","8,37","83 240 ","Komedia"
"13.","Arcane","2021","8,36","50 896 ","Animacja"
"14.","Narcos","2015","8,35","178 432 ","Biograficzny"
"15.","Detektyw","2014","8,35","162 308 ","Dramat"
"16.","Rodzina Soprano","1999","8,34","74 642 ","Dramat"
"17.","Ostatni taniec","2020","8,33","41 297 ","Dokumentalny"
"18.","Wikingowie","2013","8,30","178 820 ","Dramat historyczny"
"19.","Lataj¹cy Cyrk Monty Pythona","1969","8,27","59 330 ","Czarna komedia"
"20.","Zadzwoñ do Saula","2015","8,24","86 515 ","Dramat"
"21.","Czarne lustro","2011","8,24","178 673 ","Dramat"
"22.","House of Cards","2013","8,24","179 431 ","Dramat"
"23.","Prawo ulicy","2002","8,22","39 664 ","Dramat"
"24.","Przyjaciele","1994","8,22","350 841 ","Komedia"
"25.","Stranger Things","2016","8,22","311 762 ","Dramat"
